Trajectory ID, Date Time, Latitude,Longitude,Temperature (C),Depth (cm),Turbidity (NTU)
154544,2023-07-12 15:47:59,25.7578792572,-80.3733444213,91.0625000000,23.5812549591,0.0000000000
154544,2023-07-12 15:48:03,25.7578792572,-80.3733444213,91.2874984741,23.9928550720,0.0000000000
154544,2023-07-12 15:48:28,25.7578792572,-80.3733444213,91.6250000000,23.9242553710,0.0000000000
154544,2023-07-12 15:48:35,25.7578792572,-80.3733444213,91.7375030517,24.1986541748,0.0000000000
154544,2023-07-12 15:48:42,25.7578792572,-80.3733444213,91.7375030517,23.6327056884,0.0000000000
154544,2023-07-12 15:48:49,25.7578582763,-80.3734283447,91.7375030517,24.1986541748,0.0000000000
154544,2023-07-12 15:48:55,25.7578582763,-80.3734283447,91.7375030517,23.4269046783,0.0000000000
154544,2023-07-12 15:49:01,25.7578582763,-80.3734283447,91.6250000000,24.1815052032,0.0000000000
154544,2023-07-12 15:49:13,25.7578582763,-80.3734283447,91.7375030517,24.1472053527,0.0000000000
154544,2023-07-12 15:49:23,25.7578582763,-80.3734283447,91.7375030517,23.7356052398,0.0000000000
154544,2023-07-12 15:49:35,25.7578125000,-80.3735046386,91.7375030517,23.4269046783,0.0000000000
155022,2023-07-12 15:52:04,25.7577953338,-80.3733673095,91.6250000000,24.0786056518,0.0000000000
155022,2023-07-12 15:52:07,25.7577953338,-80.3733673095,91.6250000000,23.8899555206,0.0000000000
155022,2023-07-12 15:52:21,25.7577953338,-80.3733673095,91.6250000000,23.5298042297,0.0000000000
155022,2023-07-12 15:52:26,25.7577953338,-80.3733673095,91.6250000000,-1.0000000000,0.0000000000
155022,2023-07-12 15:52:31,25.7577953338,-80.3733673095,91.6250000000,-1.0000000000,0.0000000000
155022,2023-07-12 15:52:36,25.7578105926,-80.3733901977,91.6250000000,23.9928550720,0.0000000000
155022,2023-07-12 15:52:42,25.7578105926,-80.3733901977,91.6250000000,24.0786056518,0.0000000000
155022,2023-07-12 15:52:48,25.7578182220,-80.3734359741,91.7375030517,23.5812549591,0.0000000000
155022,2023-07-12 15:52:57,25.7578182220,-80.3734436035,91.7375030517,23.4097537994,0.0000000000
155022,2023-07-12 15:53:04,25.7578182220,-80.3734436035,91.6250000000,23.8899555206,0.0000000000
155022,2023-07-12 15:53:14,25.7578182220,-80.3734436035,91.6250000000,23.6327056884,0.0000000000
155022,2023-07-12 15:53:19,25.7578182220,-80.3734436035,91.6250000000,23.5126552581,0.0000000000
